"Frango, coxa, com pele, assada",215,28.5,10.4,145,0.1,0,1.2,95,0,8,100
"Frango, coxa, sem pele, cozida",167,26.9,5.8,133,0,0,0.8,64,0,12,100
"Frango, filé, à milanesa",221,28.5,7.8,84,7.5,0,1.1,122,0,9,100
"Frango, inteiro, sem pele, assado",187,28,7.5,111,0,0,0.6,70,0,9,100
"Frango, inteiro, sem pele, cozido",170,25,7.1,99,0,0,0.5,51,0,8,100
"Frango, peito, com pele, assado",212,33.4,7.6,109,0,0,0.5,56,0,8,100
"Frango, peito, sem pele, cozido",163,31.5,3.2,89,0,0,0.3,36,0,6,100
"Frango, peito, sem pele, grelhado",159,32,2.5,89,0,0,0.3,50,0,5,100
"Frango, sobrecoxa, com pele, assada",260,28.7,15.2,158,0,0,1.2,96,0,11,100
"Frango, sobrecoxa, sem pele, assada",233,29.2,12,145,0,0,1.2,106,0,12,100
"Hambúrguer, bovino, frito",258,20,17,49,6.3,0,3,1252,0,62,100
"Hambúrguer, bovino, grelhado",210,13.2,12.4,59,11.3,0,2.6,1090,0,56,100
"Lingüiça, frango, frita",245,18.3,18.5,76,0,0,0.8,1374,0,15,100
"Lingüiça, frango, grelhada",244,18.2,18.4,80,0,0,0.7,1351,0,14,100
"Lingüiça, porco, frita",280,20.5,21.3,75,0,0,0.9,1432,0,8,100
"Lingüiça, porco, grelhada",296,23.2,21.9,82,0,0,1,1456,0,8,100
Mortadela,269,12,21.6,83,5.8,0,1.5,1212,0,67,100
"Peru, congelado, assado",163,26.2,5.7,91,0,0,0.6,628,0,14,100
"Porco, bisteca, frita",311,33.7,18.5,126,0,0,0.8,63,0,69,100
"Porco, bisteca, grelhada",280,28.9,17.4,82,0,0,0.9,51,0,34,100
"Porco, costela, assada",402,30.2,30.3,113,0,0,1,63,0,17,100
"Porco, lombo, assado",210,35.7,6.4,103,0,0,0.5,39,0,20,100
"Porco, pernil, assado",262,32.1,13.9,110,0,0,1.3,62,0,18,100
"Presunto, com capa de gordura",128,14.4,6.8,40,1.4,0,0.7,1021,0,12,100
"Presunto, sem capa de gordura",94,14.3,2.7,36,2.1,0,0.8,1039,0,23,100
"Quibe, assado",136,14.6,2.7,34,12.9,0,2.2,40,0,16,100
"Quibe, cru",109,12.4,1.7,27,10.8,0,1.7,39,0,12,100
"Quibe, frito",254,14.9,15.8,38,12.3,0,2,836,0,22,100
Salame,398,25.8,30.6,85,2.9,0,1.3,1574,0,87,100
"Toucinho, frito",697,27.3,64.3,89,0,0,0.9,125,0,9,100
